Brew_ID,Name,City,State
349,Four Horsemen Brewing Company,South Bend, IN
359,Daredevil Brewing Company,Shelbyville, IN
507,Warbird Brewing Company,Fort Wayne, IN
46,Tallgrass Brewing Company,Manhattan, KS
284,Defiance Brewing Company,Hays, KS
501,High Noon Saloon And Brewery,Leavenworth, KS
2,Against the Grain Brewery,Louisville, KY
63,Against The Grain Brewery,Louisville, KY
101,West Sixth Brewing,Lexington, KY
389,Alltech's Lexington Brewing Company,Lexington, KY
153,Tin Roof Brewing Company,Baton Rouge, LA
175,New Orleans Lager & Ale Brewing ...,New Orleans, LA
270,Great Raft Brewing Company,Shreveport, LA
534,Abita Brewing Company,Abita Springs, LA
554,Covington Brewhouse,Covington, LA
3,Jack's Abby Craft Lagers,Framingham, MA
96,Blackrocks Brewery,Marquette, MA
104,Beer Works Brewery,Lowell, MA
124,Ipswich Ale Brewery,Ipswich, MA
146,Cisco Brewers,Nantucket, MA
179,Cambridge Brewing Company,Cambridge, MA
231,Cape Ann Brewing Company,Gloucester, MA
235,Harpoon Brewery,Boston, MA
268,Cape Cod Beer,Hyannis, MA
272,Notch Brewing Company,Ipswich, MA
279,Berkshire Brewing Company,South Deerfield, MA
294,Northampton Brewery,Northamtpon, MA
296,Wachusett Brewing Company,Westminster, MA
301,Boston Beer Company,Boston, MA
305,Blue Hills Brewery,Canton, MA
306,Night Shift Brewing,Everett, MA
319,Banner Beer Company,Williamsburg, MA
340,Wormtown Brewery,Worcester, MA
352,Westfield River Brewing Company,Westfield, MA
447,Downeast Cider House,Leominster, MA
478,Big Elm Brewing,Sheffield, MA
496,Newburyport Brewing Company,Newburyport, MA
512,Sherwood Forest Brewers,Marlborough, MA
69,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD
72,Union Craft Brewing,Baltimore, MD
115,Jailbreak Brewing Company,Laurel, MD
256,Stillwater Artisanal Ales,Baltimore, MD
263,The Brewer's Art,Baltimore, MD
480,Heavy Seas Beer,Halethorpe, MD
522,Flying Dog Brewery,Frederick, MD
43,Rising Tide Brewing Company,Portland, ME
107,Glabrous Brewing Company,Pineland, ME
267,Peak Organic Brewing Company,Portland, ME
293,Baxter Brewing Company,Lewiston, ME
318,Marshall Wharf Brewing Company,Belfast, ME
324,D.L. Geary Brewing Company,Portland, ME
386,Shipyard Brewing Company,Portland, ME
493,Stone Coast Brewing Company,Portland, ME
503,Sea Dog Brewing Company,Portland, ME
8,Tapistry Brewing,Bridgman, MI
9,Big Lake Brewing,Holland, MI
10,The Mitten Brewing Company,Grand Rapids, MI
11,Brewery Vivant,Grand Rapids, MI
12,Petoskey Brewing,Petoskey, MI
13,Blackrocks Brewery,Marquette, MI
14,Perrin Brewing Company,Comstock Park, MI
15,Witch's Hat Brewing Company,South Lyon, MI
16,Founders Brewing Company,Grand Rapids, MI
40,Gonzo's BiggDogg Brewing,Kalamazoo, MI
60,Latitude 42 Brewing Company,Portage, MI
73,Atwater Brewery,Detroit, MI
77,Bell's Brewery,Kalamazoo, MI
85,Keweenaw Brewing Company,Houghton, MI
86,Brewery Terra Firma,Traverse City, MI
122,Cheboygan Brewing Company,Cheboygan, MI
125,Griffin Claw Brewing Company,Birmingham, MI
138,Sietsema Orchards and Cider Mill,Ada, MI
163,Right Brain Brewery,Traverse City, MI
186,Vander Mill Ciders,Spring Lake, MI
187,St. Julian Winery,Paw Paw, MI
230,Rochester Mills Brewing Company,Rochester, MI
254,Frankenmuth Brewery,Frankenmuth, MI
255,Meckley's Cidery,Somerset Center, MI
261,Mountain Town Brewing Company ,Mount Pleasant, MI
339,Uncle John's Fruit House Winery,St. John's, MI
397,White Flame Brewing Company,Hudsonville, MI
399,Saugatuck Brewing Company,Douglas, MI
403,Wolverine State Brewing Company,Ann Arbor, MI
439,The Right Brain Brewery,Traverse City, MI
441,MillKing It Productions,Royal Oak, MI
542,Arcadia Brewing Company,Battle Creek, MI
1,NorthGate Brewing ,Minneapolis, MN
54,Bent Brewstillery,Roseville, MN
59,Summit Brewing Company,St. Paul, MN
62,Surly Brewing Company,Brooklyn Center, MN
76,Bent Paddle Brewing Company,Duluth, MN
139,Summit Brewing Company,St Paul, MN
143,Third Street Brewhouse,Cold Spring, MN
245,Lift Bridge Brewing Company,Stillwater, MN
259,Bauhaus Brew Labs,Minneapolis, MN
278,Indeed Brewing Company,Minneapolis, MN
445,Big Wood Brewery,Vadnais Heights, MN
475,Tonka Beer Company,Minnetonka, MN
32,Boulevard Brewing Company,Kansas City, MO
61,4 Hands Brewing Company,Saint Louis, MO
88,Kirkwood Station Brewing Company,Kirkwood, MO
133,Weston Brewing Company,Weston, MO
189,Mother's Brewing,Springfield, MO
315,Piney River Brewing Company,Bucryus, MO
327,Morgan Street Brewery,Saint Louis, MO
429,Schlafly Brewing Company,Saint Louis, MO
443,O'Fallon Brewery,O'Fallon, MO
134,Southern Prohibition Brewing Com...,Hattiesburg, MS
246,Lucky Town Brewing Company,Jackson, MS
220,Bozeman Brewing Company,Bozeman, MT
337,Big Sky Brewing Company,Missoula, MT
408,Bitter Root Brewing,Hamilton, MT
410,Tamarack Brewing Company,Lakeside, MT
500,Wildwood Brewing Company,Stevensville, MT
511,Kettle House Brewing Company,Missoula, MT
536,Harvest Moon Brewing Company,Belt, MT
538,Lewis and Clark Brewing Company,Helena, MT
544,Great Northern Brewing Company,Whitefish, MT
70,Appalachian Mountain Brewery,Boone, NC
71,Birdsong Brewing Company,Charlotte, NC
97,Catawba Valley Brewing Company,Morganton, NC
150,Lonerider Brewing Company,Raleigh, NC
180,Carolina Brewery,Pittsboro, NC
181,Frog Level Brewing Company,Waynesville, NC
325,Pisgah Brewing Company,Black Mountain, NC
332,Catawba Brewing Company,Morganton, NC
348,Fullsteam Brewery,Durham, NC
360,NoDa Brewing Company,Charlotte, NC
361,Aviator Brewing Company,Fuquay-Varina, NC
390,Oskar Blues Brewery (North Carol...,Brevard, NC
434,French Broad Brewery,Asheville, NC
446,Howard Brewing Company,Lenoir, NC
498,Cans Bar and Canteen,Charlotte, NC
505,Carolina Beer & Beverage,Mooresville, NC
525,Triangle Brewing Company,Durham, NC
529,Asheville Brewing Company,Asheville, NC
541,Mother Earth Brewing Company,Kinston, NC
336,Fargo Brewing Company,Fargo, ND
190,Modern Monks Brewery,Lincoln, NE
283,Thunderhead Brewing Company,Kearney, NE
338,Nebraska Brewing Company,Papillion, NE
381,Blue Blood Brewing Company,Lincoln, NE
509,Spilker Ales,Cortland, NE
48,White Birch Brewing,Hooksett, NH
110,"Woodstock Inn, Station & Brewery",North Woodstock, NH
548,Moat Mountain Smoke House & Brew...,North Conway, NH
218,Forgotten Boardwalk,Cherry Hill, NJ
223,Carton Brewing Company,Atlantic Highlands, NJ
282,Bolero Snort Brewery,Ridgefield Park, NJ
266,Tractor Brewing Company,Albuquerque, NM
333,La Cumbre Brewing Company,Albuquerque, NM
393,Santa Fe Brewing Company,Santa Fe, NM
444,Marble Brewery,Albuquerque, NM
234,Joseph James Brewing Company,Henderson, NV
531,Buckbean Brewing Company,Reno, NV
47,Sixpoint Craft Ales,Brooklyn, NY
174,Evil Twin Brewing,Brooklyn, NY
227,Chatham Brewing,Chatham, NY
239,Newburgh Brewing Company,Newburgh, NY
250,Southampton Publick House,Southampton, NY
277,Montauk Brewing Company,Montauk, NY
300,Matt Brewing Company,Utica, NY
330,The Bronx Brewery,Bronx, NY
343,KelSo Beer Company,Brooklyn, NY
438,Brooklyn Brewery,Brooklyn, NY
485,The Manhattan Brewing Company,New York, NY
490,Blue Point Brewing Company,Patchogue, NY
526,Bomb Beer Company,New York, NY
539,Dundee Brewing Company,Rochester, NY
547,Upstate Brewing Company,Elmira, NY
557,Butternuts Beer and Ale,Garrattsville, NY
92,Madtree Brewing Company,Cincinnati, OH
93,Jackie O's Pub & Brewery,Athens, OH
94,Rhinegeist Brewery,Cincinnati, OH
95,Warped Wing Brewing Company,Dayton, OH
100,Christian Moerlein Brewing Company,Cincinnati, OH
106,Four String Brewing Company,Columbus, OH
148,Platform Beer Company,Cleveland, OH
184,Seventh Son Brewing Company,Columbus, OH
225,Fat Head's Brewery,Middleburg Heights, OH
275,Portside Brewery,Cleveland, OH
286,Catawba Island Brewing,Port Clinton, OH
322,Rivertown Brewing Company,Lockland, OH
353,Elevator Brewing Company,Columbus, OH
358,Buckeye Brewing,Cleveland, OH
435,Angry Orchard Cider Company,Cincinnati, OH
183,COOP Ale Works,Oklahoma City, OK
194,Anthem Brewing Company,Oklahoma City, OK
331,Dead Armadillo Craft Brewing,Tulsa, OK
367,Mustang Brewing Company,Mustang, OK
377,RoughTail Brewing Company,Midwest City, OK
506,Krebs Brewing Company (Pete's Pl...,Krebs, OK
81,Hopworks Urban Brewery,Portland, OR
117,Base Camp Brewing Co.,Portland, OR
118,Alameda Brewing,Portland, OR
151,Oakshire Brewing,Eugene, OR
154,Three Creeks Brewing,Sisters, OR
155,2 Towns Ciderhouse,Corvallis, OR
156,Caldera Brewing Company,Ashland, OR
195,Goodlife Brewing Co.,Bend, OR
196,Breakside Brewery,Portland, OR
198,Burnside Brewing Co.,Portland, OR
